Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0268583,Methylmalonic Acidemia,metabolic,"An organic acidemia that involves an accumulation of methylmalonic acid in the blood. [url:http\://ghr.nlm.nih.gov/condition/methylmalonic-acidemia, url:http\://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0002147/]",DOID:14749,Nervous system
C0011616,Contact Dermatitis,integumentary system disease,An inflammatory reaction of the skin caused by contact with an irritant substance or an allergen.,DOID:2773,Integumentary system
C0011615,"Dermatitis, Atopic",integumentary system disease,"A chronic inflammatory genetically determined disease of the skin marked by increased ability to form reagin (IgE), with increased susceptibility to allergic rhinitis and asthma, and hereditary disposition to a lowered threshold for pruritus. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. In infants it is known as infantile eczema.",,Integumentary system
C0010068,Coronary Heart Disease,cardiovascular system disease,"A condition in which the major blood vessels that supply the heart muscle (coronary arteries) become narrowed or blocked, usually due to atherosclerosis (plaque buildup), reducing blood flow to the heart.",,Cardiovascular
C0029456,Osteoporosis,musculoskeletal system disease,"Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.",DOID:11476,musculoskeletal system
C0018800,Cardiomegaly,Cardiovascular,"Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.",,Cardiovascular
C0018801,Heart Failure,cardiovascular system disease,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a sudden overload beyond its capacity. Chronic heart failure is more common than acute heart failure which results from sudden insult to cardiac function, such as MYOCARDIAL INFARCTION.",,cardiovascular system
C0677776,Hereditary Breast And Ovarian Cancer Syndrome,monogenic disease,Autosomal dominant HEREDITARY CANCER SYNDROME in which a mutation most often in either BRCA1 or BRCA2 is associated with a significantly increased risk for breast and ovarian cancers.,,Reproductive system
C1269683,Major Depressive Disorder,Psychiatric,"An endogenous depression that is characterized by an all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities. [url:http\://en.wikipedia.org/wiki/Major_depressive_disorder]",DOID:1470,Nervous
C0037274,Dermatologic Disorders,integumentary system disease,"Conditions or diseases affecting the skin, hair, nails, and mucous membranes.",,Integumentary system
C0349788,Arrhythmogenic Right Ventricular Dysplasia,cardiovascular system disease,A congenital cardiomyopathy that is characterized by infiltration of adipose and fibrous tissue into the RIGHT VENTRICLE wall and loss of myocardial cells. Primary injuries usually are at the free wall of right ventricular and right atria resulting in ventricular and supraventricular arrhythmias.,,cardiovascular system
C0021368,Inflammation,Inflammatory,"A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function.",,Immune System
C0011882,Diabetic Neuropathies,nervous system disease,"Peripheral, autonomic, and cranial nerve disorders that are associated with DIABETES MELLITUS. These conditions usually result from diabetic microvascular injury involving small blood vessels that supply nerves (VASA NERVORUM). Relatively common conditions which may be associated with diabetic neuropathy include third nerve palsy (see OCULOMOTOR NERVE DISEASES); MONONEUROPATHY; mononeuropathy multiplex; diabetic amyotrophy; a painful POLYNEUROPATHY; autonomic neuropathy; and thoracoabdominal neuropathy. (From Adams et al., Principles of Neurology, 6th ed, p1325)",,nervous system
C0021364,Male Infertility,reproductive system disease,Male infertility is the inability of a male to cause pregnancy in a fertile female after one year of unprotected intercourse.,DOID:12336,Reproductive system
C0042373,Vascular Diseases,cardiovascular system disease,Pathological processes involving any of the BLOOD VESSELS in the cardiac or peripheral circulation. They include diseases of ARTERIES; VEINS; and rest of the vasculature system in the body.,,cardiovascular
C0021361,Female Infertility,Reproductive disorder,"The inability of a woman to conceive a child after one year of unprotected sexual intercourse (or six months if the woman is 35 years or older), or the inability to carry a pregnancy to term.",,Reproductive system
C0023418,Leukemia,cancer,"A progressive, malignant disease of the blood-forming organs, characterized by distorted proliferation and development of leukocytes and their precursors in the blood and bone marrow. Leukemias were originally termed acute or chronic based on life expectancy but now are classified according to cellular maturity. Acute leukemias consist of predominately immature cells; chronic leukemias are composed of more mature cells. (From The Merck Manual, 2006)",DOID:1240,Hematopoietic system
C0009324,Ulcerative Colitis,gastrointestinal system disease,"A colitis that is predominantly confined to the mucosa located_in colon and includes characteristic ulcers, or open sores. [MSH:D003093, url:http\://en.wikipedia.org/wiki/Ulcerative_colitis]",DOID:8577,gastrointestinal system
C0021400,Influenza,viral infectious disease,"A viral infectious disease that results_in infection, located_in respiratory tract, has_material_basis_in Influenzavirus A, has_material_basis_in Influenzavirus B, or has_material_basis_in Influenzavirus C, which are transmitted_by droplet spread of oronasal secretions during coughing, sneezing, or talking from an infected person. It is a highly contagious disease that affects birds and mammals and has_symptom chills, has_symptom fever, has_symptom sore throat, has_symptom runny nose, has_symptom muscle pains, has_symptom severe headache, has_symptom cough, and has_symptom weakness. [url:http\://www.merck.com/mmhe/sec17/ch198/ch198d.html, url:http\://www.who.int/mediacentre/factsheets/2003/fs211/en/]",DOID:8469,respiratory
C0027707,"Nephritis, Interstitial",urinary system disease,"Inflammation of the interstitial tissue of the kidney. This term is generally used for primary inflammation of KIDNEY TUBULES and/or surrounding interstitium. For primary inflammation of glomerular interstitium, see GLOMERULONEPHRITIS. Infiltration of the inflammatory cells into the interstitial compartment results in EDEMA, increased spaces between the tubules, and tubular renal dysfunction.",,urinary system
C1527336,Sjogren'S Syndrome,immune system disease,"Chronic inflammatory and autoimmune disease in which the salivary and lacrimal glands undergo progressive destruction by lymphocytes and plasma cells resulting in decreased production of saliva and tears. The primary form, often called sicca syndrome, involves both KERATOCONJUNCTIVITIS SICCA and XEROSTOMIA. The secondary form includes, in addition, the presence of a connective tissue disease, usually rheumatoid arthritis.",DOID:12894,Exocrine system
C0455806,Infant Length,Anthropometric Measurement,Standard anthropometric measurement used to assess physical growth and development in infants.,,Skeletal System
C0008074,"Child Development Disorders, Pervasive",Neurodevelopmental,"Severe distortions in the development of many basic psychological functions that are not normal for any stage in development. These distortions are manifested in sustained social impairment, speech abnormalities, and peculiar motor movements.",,Nervous
C0038587,Substance Withdrawal Syndrome,Substance-related,"Physiological and psychological symptoms associated with withdrawal from the use of a drug after prolonged administration or habituation. The concept includes withdrawal from smoking or drinking, as well as withdrawal from an administered drug.",,Nervous
C1955869,Malformations Of Cortical Development,Developmental,Abnormalities in the development of the CEREBRAL CORTEX. These include malformations arising from abnormal neuronal and glial CELL PROLIFERATION or APOPTOSIS (Group I); abnormal neuronal migration (Group II); and abnormal establishment of cortical organization (Group III). Many INBORN METABOLIC BRAIN DISORDERS affecting CNS formation are often associated with cortical malformations. They are common causes of EPILEPSY and developmental delay.,,Nervous
C0002736,Amyotrophic Lateral Sclerosis,nervous system disease,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts. (From Adams et al., Principles of Neurology, 6th ed, pp1089-94)",DOID:332,nervous system
C0008073,Developmental Disabilities,Developmental disorder,"Disorders in which there is a delay in development based on that expected for a given age level or stage of development. These impairments or disabilities originate before age 18, may be expected to continue indefinitely, and constitute a substantial impairment. Biological and nonbiological factors are involved in these disorders. (From American Psychiatric Glossary, 6th ed)",,Nervous system
C0009952,Febrile Convulsions,Neurological disorder,"Seizures that occur in young children (typically between 6 months and 5 years old) who have a fever, without evidence of intracranial infection or other defined cause.",,Nervous
C0008370,Cholestasis,gastrointestinal system disease,Impairment of bile flow due to obstruction in small bile ducts (INTRAHEPATIC CHOLESTASIS) or obstruction in large bile ducts (EXTRAHEPATIC CHOLESTASIS).,DOID:13580,gastrointestinal system
C0020542,Pulmonary Hypertension,cardiovascular system disease,"A hypertension characterized by an increase of blood pressure in the pulmonary artery, pulmonary vein or pulmonary capillaries. [PMID:19555858, url:https\://en.wikipedia.org/wiki/Pulmonary_hypertension]",DOID:6432,cardiovascular system
C0238463,Papillary Thyroid Carcinoma,cancer,"A thyroid carcinoma that is characterized by the small mushroom shape of the tumor which has a stem attached to the epithelial layer. [url:http\://cancergenome.nih.gov/cancersselected/thyroid, url:http\://en.wikipedia.org/wiki/Papillary_thyroid_cancer, url:http\://www.ncbi.nlm.nih.gov/pubmed/21455196]",DOID:3969,endocrine system
C0455988,"Hydrops Fetalis, Non-Immune",Fetal condition,"Abnormal accumulation of fluid in two or more fetal body cavities or tissues, including subcutaneous tissue, pleural space, pericardial space, and peritoneum, not caused by Rh incompatibility.",,Multiple systems
C0400966,Non-Alcoholic Fatty Liver Disease,metabolic,Fatty liver finding without excessive ALCOHOL CONSUMPTION.,,digestive
C0009319,Colitis,gastrointestinal system disease,"Inflammation of the COLON section of the large intestine (INTESTINE, LARGE), usually with symptoms such as DIARRHEA (often with blood and mucus), ABDOMINAL PAIN, and FEVER.",DOID:0060180,gastrointestinal system
C0699790,Colon Carcinoma,cancer,A colon cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells. [url:http\://en.wikipedia.org/wiki/Carcinoma],DOID:1520,digestive system
C0020445,"Hypercholesterolemia, Familial",inherited metabolic disorder,"An inherited disorder characterized by very high levels of low-density lipoprotein (LDL) cholesterol in the blood, leading to premature cardiovascular disease.",,Cardiovascular system
C0003123,Anorexia,Eating Disorder,The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat. It is the defining characteristic of the disorder ANOREXIA NERVOSA.,,Nervous
C0149931,Migraine Disorders,nervous system disease,"A class of disabling primary headache disorders, characterized by recurrent unilateral pulsatile headaches. The two major subtypes are common migraine (without aura) and classic migraine (with aura or neurological symptoms). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)",,nervous system
C0005695,Bladder Neoplasm,cancer,"An abnormal growth of cells in the bladder, which can be benign (non-cancerous) or malignant (cancerous). Malignant bladder neoplasms are commonly referred to as bladder cancer.",,Urinary system
C0018784,Sensorineural Hearing Loss (Disorder),nervous system disease,Sensorineural hearing loss (SNHL) is a type of hearing loss caused by damage to the inner ear (cochlea) or the nerve pathways from the inner ear to the brain. It affects the ability to hear faint sounds and can also make it difficult to understand speech.,,Nervous System
C0524620,Metabolic Syndrome X,acquired metabolic disease,"A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)",DOID:14221,metabolic
C0018781,Noise-Induced Hearing Loss,Acquired,"Hearing loss caused by damage to the structures of the inner ear, typically the hair cells, due to exposure to loud sounds.",,Auditory system
C0023467,"Leukemia, Myelocytic, Acute",cancer,A type of cancer of the blood and bone marrow characterized by the rapid growth of abnormal myeloid cells that interfere with the production of normal blood cells.,,Hematopoietic system
C0376358,Malignant Neoplasm Of Prostate,cancer,"A malignant tumor that originates in the prostate gland, a small gland in males located below the bladder that produces seminal fluid.",,Genitourinary
C1319853,"Asthma, Aspirin-Induced",immunologic,"Asthmatic adverse reaction (e.g., BRONCHOCONSTRICTION) to conventional NSAIDS including aspirin use.",,respiratory
C0265275,Jeune Thoracic Dystrophy,genetic bone disease,"Jeune thoracic dystrophy, also known as asphyxiating thoracic dystrophy, is a rare, inherited skeletal disorder characterized by a narrow, bell-shaped chest, short ribs, shortened limbs, and in some cases, polydactyly. The small chest can cause respiratory problems, especially in infancy. It is typically inherited in an autosomal recessive manner.",DOID:0111104,skeletal system
C0007134,Renal Cell Carcinoma,cancer,"A renal carcinoma that has_material_basis_in the lining of the proximal convoluted renal tubule of the kidney. [url:http\://en.wikipedia.org/wiki/Renal_cell_carcinoma, url:http\://www.cancer.gov/dictionary?CdrID=661352]",DOID:4450,Urinary system
C0007137,Squamous Cell Carcinoma,cancer,"A carcinoma that derives_from squamous epithelial cells. [url:http\://en.wikipedia.org/wiki/Squamous_cell_carcinoma, url:http\://www.medicinenet.com/skin_cancer/page2.htm]",DOID:1749,Integumentary system
C0007131,Non-Small Cell Lung Carcinoma,cancer,A lung carcinoma that is characterized as any type of epithelial lung cancer other than small cell lung carcinoma. [url:http\://en.wikipedia.org/wiki/Non-small-cell_lung_carcinoma],DOID:3908,Respiratory system
C0677050,Manganese Poisoning,toxic,"Manganese poisoning is associated with chronic inhalation of manganese particles by individuals who work with manganese ore. Clinical features include CONFUSION; HALLUCINATIONS; and an extrapyramidal syndrome (PARKINSON DISEASE, SECONDARY) that includes rigidity; DYSTONIA; retropulsion; and TREMOR. (Adams, Principles of Neurology, 6th ed, p1213)",,nervous system
C0242698,"Ventricular Dysfunction, Left",Cardiovascular,A condition in which the LEFT VENTRICLE of the heart was functionally impaired. This condition usually leads to HEART FAILURE; MYOCARDIAL INFARCTION; and other cardiovascular complications. Diagnosis is made by measuring the diminished ejection fraction and a depressed level of motility of the left ventricular wall.,,Cardiovascular
C0007138,"Carcinoma, Transitional Cell",cancer,"A malignant neoplasm derived from TRANSITIONAL EPITHELIAL CELLS, occurring chiefly in the URINARY BLADDER; URETERS; or RENAL PELVIS.",,Urinary system
C0026691,Mucocutaneous Lymph Node Syndrome,immune system disease,"An acute, febrile, mucocutaneous condition accompanied by swelling of cervical lymph nodes in infants and young children. The principal symptoms are fever, congestion of the ocular conjunctivae, reddening of the lips and oral cavity, protuberance of tongue papillae, and edema or erythema of the extremities.",,immune system
C0040336,Tobacco Use Disorder,Behavioral / Substance Use Disorder,Tobacco used to the detriment of a person's health or social functioning. Tobacco dependence is included.,,Nervous
C0033687,Proteinuria,urinary system disease,"The presence of proteins in the urine, an indicator of KIDNEY DISEASES.",DOID:576,urinary system
C0011881,Diabetic Nephropathy,Metabolic complication,"Diabetic nephropathy is a serious kidney-related complication of type 1 and type 2 diabetes. It is characterized by damage to the blood vessels in the kidneys, impairing their ability to filter waste products from the blood.",DOID:2370,Renal/Urinary
C0007959,Charcot-Marie-Tooth Disease,nervous system disease,"A hereditary motor and sensory neuropathy transmitted most often as an autosomal dominant trait and characterized by progressive distal wasting and loss of reflexes in the muscles of the legs (and occasionally involving the arms). Onset is usually in the second to fourth decade of life. This condition has been divided into two subtypes, hereditary motor and sensory neuropathy (HMSN) types I and II. HMSN I is associated with abnormal nerve conduction velocities and nerve hypertrophy, features not seen in HMSN II. (Adams et al., Principles of Neurology, 6th ed, p1343)",DOID:10595,nervous system
C0029172,Oral Submucous Fibrosis,gastrointestinal system disease,A mouth disease that is characterized by juxta-epithelial inflammatory reaction and progressive fibrosis of the submucosal tissues.,DOID:5773,Digestive system
C0001430,Adenoma,benign neoplasm,A benign epithelial tumor with a glandular organization.,DOID:657,Endocrine system
C0027947,Neutropenia,immune system disease,A decrease in the number of NEUTROPHILS found in the blood.,DOID:1227,immune system
C1843367,Poor School Performance,Symptom/Outcome (Multifactorial),"Academic achievement that is significantly below the expected level for a student's age, grade, and intellectual ability, often indicating underlying learning difficulties, developmental issues, psychological factors, or other health or environmental challenges.",,Nervous System
C0032273,Pneumoconiosis,respiratory system disease,"A diffuse parenchymal lung disease caused by inhalation of dust and by tissue reaction to their presence. These inorganic, organic, particulate, or vaporized matters usually are inhaled by workers in their occupational environment, leading to the various forms (ASBESTOSIS; BYSSINOSIS; and others). Similar air pollution can also have deleterious effects on the general population.",DOID:10316,respiratory system
C0007222,Cardiovascular Diseases,cardiovascular system disease,Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.,,cardiovascular system
C1561955,Fibrinogen Adverse Event,Adverse reaction,"An undesirable or unintended event occurring in a patient related to fibrinogen, often involving complications with blood coagulation or immune reactions.",,Hematologic system
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",acquired metabolic disease,A chronic metabolic disorder characterized by high blood sugar levels resulting from insulin resistance and relative insulin deficiency.,,Metabolic system
C0040034,Thrombocytopenia,immune system disease,A subnormal level of BLOOD PLATELETS.,DOID:1588,Hematological
C0036920,Sezary Syndrome,cancer,"A form of cutaneous T-cell lymphoma manifested by generalized exfoliative ERYTHRODERMA; PRURITUS; peripheral lymphadenopathy, and abnormal hyperchromatic mononuclear (cerebriform) cells in the skin, LYMPH NODES, and peripheral blood (Sezary cells).",,Integumentary
C1112705,Nuclear Non-Senile Cataract,Degenerative,"Opacity or clouding of the central portion (nucleus) of the eye's lens, occurring in individuals younger than typically affected by age-related (senile) cataracts.",,Ocular System
C0011884,Diabetic Retinopathy,nervous system disease,"Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION.",DOID:8947,nervous system
C1384666,Hearing Impairment,Sensory disorder,"Difficulty or inability to hear sounds, ranging from mild to profound, which can affect one or both ears.",,Sensory system
C0033975,Psychotic Disorders,psychiatric,"Disorders in which there is a loss of ego boundaries or a gross impairment in reality testing with delusions or prominent hallucinations. (From DSM-IV, 1994)",,nervous
C0003469,Anxiety Disorders,cognitive disorder,Persistent and disabling ANXIETY.,,nervous system
C1261502,Finding Of Mean Corpuscular Hemoglobin,Hematological finding,"A clinical observation or measurement related to the mean corpuscular hemoglobin (MCH) level, which indicates the average amount of hemoglobin per red blood cell. Abnormal findings are often used to characterize types of anemia.",,Hematopoietic system
C0022665,Kidney Neoplasm,cancer,"An abnormal growth of cells or tissue in the kidney, which can be benign or malignant (cancerous).",,Urinary system
C0026603,Motion Sickness,nervous system disease,"Disorder caused by motion, as sea sickness, train sickness, car sickness, air sickness, or SPACE MOTION SICKNESS. It may include nausea, vomiting and dizziness.",DOID:2951,nervous system
C0024305,"Lymphoma, Non-Hodgkin",cancer,"Any of a group of malignant tumors of lymphoid tissue that differ from HODGKIN DISEASE, being more heterogeneous with respect to malignant cell lineage, clinical course, prognosis, and therapy. The only common feature among these tumors is the absence of giant REED-STERNBERG CELLS, a characteristic of Hodgkin's disease.",,lymphatic system
C0024301,"Lymphoma, Follicular",cancer,Malignant lymphoma in which the lymphomatous cells are clustered into identifiable nodules within the LYMPH NODES. The nodules resemble to some extent the GERMINAL CENTER of lymph node follicles and most likely represent neoplastic proliferation of lymph node-derived follicular center B-LYMPHOCYTES.,,lymphatic system
C0040028,"Thrombocythemia, Essential",cancer,A clinical syndrome characterized by repeated spontaneous hemorrhages and a remarkable increase in the number of circulating platelets.,,Hematological
C0003864,Arthritis,musculoskeletal system disease,"A bone inflammation disease that involves a response to irritation or injury, characterized by joint pain, swelling, stiffness located_in joint and/or redness located_in skin over the joint. [ls:IEDB, url:http\://arthritis.webmd.com/, url:http\://en.wikipedia.org/wiki/Arthritis, url:http\://www.arthritis.org/, url:http\://www.nlm.nih.gov/medlineplus/ency/article/001243.htm]",DOID:848,musculoskeletal system
C0020649,Hypotension,Circulatory,Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.,,Cardiovascular
C0035126,Reperfusion Injury,Injury,"Adverse functional, metabolic, or structural changes in ischemic tissues resulting from the restoration of blood flow to the tissue (REPERFUSION), including swelling; HEMORRHAGE; NECROSIS; and damage from FREE RADICALS. The most common instance is MYOCARDIAL REPERFUSION INJURY.",,Cardiovascular
C0018843,Heat Stroke,Environmental,"A condition caused by the failure of body to dissipate heat in an excessively hot environment or during PHYSICAL EXERTION in a hot environment. Contrast to HEAT EXHAUSTION, the body temperature in heat stroke patient is dangerously high with red, hot skin accompanied by DELUSIONS; CONVULSIONS; or COMA. It can be a life-threatening emergency and is most common in infants and the elderly.",,Nervous
C0018923,Hemangiosarcoma,cancer,"A rare malignant neoplasm characterized by rapidly proliferating, extensively infiltrating, anaplastic cells derived from blood vessels and lining irregular blood-filled or lumpy spaces. (Stedman, 25th ed)",,Cardiovascular
C0013182,Drug Allergy,Allergic,A hypersensitivity reaction type I disease triggered by a drug. [],DOID:0060500,Immune system
C1840235,Solitary Median Maxillary Central Incisor,Genetic/Developmental,A rare developmental anomaly characterized by the presence of a single central incisor tooth in the midline of the upper jaw instead of the usual two.,,Dental/Skeletal
C0025149,Medulloblastoma,cancer,"A malignant neoplasm that may be classified either as a glioma or as a primitive neuroectodermal tumor of childhood (see NEUROECTODERMAL TUMOR, PRIMITIVE). The tumor occurs most frequently in the first decade of life with the most typical location being the cerebellar vermis. Histologic features include a high degree of cellularity, frequent mitotic figures, and a tendency for the cells to organize into sheets or form rosettes. Medulloblastoma have a high propensity to spread throughout the craniospinal intradural axis. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2060-1)",DOID:0050902,nervous
C0008924,Cleft Lip,orofacial cleft,Congenital defect in the upper lip where the maxillary prominence fails to merge with the merged medial nasal prominences. It is thought to be caused by faulty migration of the mesoderm in the head region.,DOID:9296,Musculoskeletal
C0008925,Cleft Palate,orofacial cleft,"Congenital fissure of the soft and/or hard palate, due to faulty fusion.",DOID:674,Musculoskeletal
C0151786,Muscle Weakness,Neuromuscular,"A vague complaint of debility, fatigue, or exhaustion attributable to weakness of various muscles. The weakness can be characterized as subacute or chronic, often progressive, and is a manifestation of many muscle and neuromuscular diseases. (From Wyngaarden et al., Cecil Textbook of Medicine, 19th ed, p2251)",,Musculoskeletal
C0027643,"Neoplasm Recurrence, Local",cancer,The local recurrence of a neoplasm following treatment. It arises from microscopic cells of the original neoplasm that have escaped therapeutic intervention and later become clinically visible at the original site.,,Site-specific
C0004114,Astrocytoma,cancer,"Neoplasms of the brain and spinal cord derived from glial cells which vary from histologically benign forms to highly anaplastic and malignant tumors. Fibrillary astrocytomas are the most common type and may be classified in order of increasing malignancy (grades I through IV). In the first two decades of life, astrocytomas tend to originate in the cerebellar hemispheres; in adults, they most frequently arise in the cerebrum and frequently undergo malignant transformation. (From Devita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2013-7; Holland et al., Cancer Medicine, 3d ed, p1082)",DOID:3069,nervous
C1260899,"Anemia, Diamond-Blackfan",immune system disease,"A rare congenital hypoplastic anemia that usually presents early in infancy. The disease is characterized by a moderate to severe macrocytic anemia, occasional neutropenia or thrombocytosis, a normocellular bone marrow with erythroid hypoplasia, and an increased risk of developing leukemia. (Curr Opin Hematol 2000 Mar;7(2):85-94)",,Hematopoietic system
C1565489,Renal Insufficiency,Renal Disease,"Conditions in which the KIDNEYS perform below the normal level in the ability to remove wastes, concentrate URINE, and maintain ELECTROLYTE BALANCE; BLOOD PRESSURE; and CALCIUM metabolism. Renal insufficiency can be classified by the degree of kidney damage (as measured by the level of PROTEINURIA) and reduction in GLOMERULAR FILTRATION RATE.",,Renal System
C0025286,Meningioma,cancer,"A relatively common neoplasm of the CENTRAL NERVOUS SYSTEM that arises from arachnoidal cells. The majority are well differentiated vascular tumors which grow slowly and have a low potential to be invasive, although malignant subtypes occur. Meningiomas have a predilection to arise from the parasagittal region, cerebral convexity, sphenoidal ridge, olfactory groove, and SPINAL CANAL. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2056-7)",DOID:3565,nervous
C0006625,Cachexia,Metabolic,"General ill health, malnutrition, and weight loss, usually associated with chronic disease.",,Musculoskeletal
C0035229,Respiratory Insufficiency,Respiratory condition,"Failure to adequately provide oxygen to cells of the body and to remove excess carbon dioxide from them. (Stedman, 25th ed)",,Respiratory
C0035228,Respiratory Hypersensitivity,Allergic,"A form of hypersensitivity affecting the respiratory tract. It includes ASTHMA and RHINITIS, ALLERGIC, SEASONAL.",,Respiratory
C2931822,Nasopharyngeal Carcinoma,cancer,"Nasopharyngeal carcinoma (NPC) is a type of cancer that arises in the nasopharynx, the upper part of the pharynx behind the nose and above the soft palate.",,respiratory
C0020429,Hyperalgesia,Neurological,An increased sensation of pain or discomfort produced by mimimally noxious stimuli due to damage to soft tissue containing NOCICEPTORS or injury to a peripheral nerve.,,Nervous
C0339527,Leber Congenital Amaurosis,nervous system disease,"A rare degenerative inherited eye disease that appears at birth or in the first few months of life that results in a loss of vision. Not to be confused with LEBER HEREDITARY OPTIC NEUROPATHY, the disease is thought to be caused by abnormal development of PHOTORECEPTOR CELLS in the RETINA, or by the extremely premature degeneration of retinal cells.",DOID:14791,Nervous system
C1720824,Sudden Cardiac Arrest,Cardiovascular disease,"A sudden, unexpected loss of heart function, breathing, and consciousness, usually resulting from an electrical disturbance in the heart that disrupts its pumping action.",,Cardiovascular
C3714756,Intellectual Disability,Developmental,"Subnormal intellectual functioning which originates during the developmental period. This has multiple potential etiologies, including genetic defects and perinatal insults. Intelligence quotient (IQ) scores are commonly used to determine whether an individual has an intellectual disability. IQ scores between 70 and 79 are in the borderline range. Scores below 67 are in the disabled range. (from Joynt, Clinical Neurology, 1992, Ch55, p28)",DOID:1059,Nervous
C0018213,Graves Disease,immune system disease,"A common form of hyperthyroidism with a diffuse hyperplastic GOITER. It is an autoimmune disorder that produces antibodies against the THYROID STIMULATING HORMONE RECEPTOR. These autoantibodies activate the TSH receptor, thereby stimulating the THYROID GLAND and hypersecretion of THYROID HORMONES. These autoantibodies can also affect the eyes (GRAVES OPHTHALMOPATHY) and the skin (Graves dermopathy).",,endocrine system
C0235032,Neurotoxicity Syndromes,nervous system disease,"Neurologic disorders caused by exposure to toxic substances through ingestion, injection, cutaneous application, or other method. This includes conditions caused by biologic, chemical, and pharmaceutical agents.",,nervous system
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (Disorder)",Genetic disorder,"A genetic disorder characterized by thickening of the heart muscle (hypertrophy), particularly the left ventricle, which can impair the heart's ability to pump blood effectively and may lead to symptoms like shortness of breath, chest pain, palpitations, and increased risk of sudden cardiac death.",,Cardiovascular system
C0004238,Atrial Fibrillation,cardiovascular system disease,"Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",DOID:0060224,cardiovascular system
C0019189,"Hepatitis, Chronic",gastrointestinal system disease,"INFLAMMATION of the LIVER with ongoing hepatocellular injury for 6 months or more, characterized by NECROSIS of HEPATOCYTES and inflammatory cell (LEUKOCYTES) infiltration. Chronic hepatitis can be caused by viruses, medications, autoimmune diseases, and other unknown factors.",,gastrointestinal system
C0004943,Behcet Syndrome,cardiovascular system disease,Rare chronic inflammatory disease involving the small blood vessels. It is of unknown etiology and characterized by mucocutaneous ulceration in the mouth and genital region and uveitis with hypopyon. The neuro-ocular form may cause blindness and death. SYNOVITIS; THROMBOPHLEBITIS; gastrointestinal ulcerations; RETINAL VASCULITIS; and OPTIC ATROPHY may occur as well.,,cardiovascular system
C0011854,"Diabetes Mellitus, Insulin-Dependent",acquired metabolic disease,"An autoimmune disease characterized by the destruction of insulin-producing beta cells in the pancreas, resulting in a severe deficiency of insulin and chronic hyperglycemia.",,Metabolic system
C0011853,"Diabetes Mellitus, Experimental",metabolic,Diabetes mellitus induced experimentally by administration of various diabetogenic agents or by PANCREATECTOMY.,,endocrine
